Title,TomatometerScore,AudienceScore,Rating,Genre,Director,R. Date (Theaters),R. Date (Streaming),Runtime
On The Rocks,86.0,50.0,R,comedy,SofiaCoppola,2020-10-02,2020-10-23,96.0
That Good Night,55.0,,NR,drama,EricStyles,,2020-11-03,92.0
Ryuichi Sakamoto: Coda,98.0,85.0,NR,music,StephenSchible,2018-07-06,2019-04-24,101.0
Wolfman's Got Nards,100.0,82.0,NR,horror,AndreGower,,2020-10-27,91.0
The Informer,62.0,56.0,R,crime,AndreaDiStefano,,2020-11-06,113.0
The Place Of No Words,69.0,,NR,drama,MarkWebber,2020-10-23,2020-10-23,95.0
Nomad: In The Footsteps Of Bruce Chatwin,92.0,,NR,documentary,WernerHerzog,2020-04-08,2020-10-25,89.0
Terra Willy: Unexplored Planet (Astro Kid),100.0,75.0,PG,animation,EricTosti,2020-10-23,2020-10-27,89.0
The True Adventures Of Wolfboy,78.0,62.0,PG-13,drama,MartinKrejcí,,2020-10-30,88.0
Last Call,81.0,,NR,drama,GavinMichaelBooth,2020-09-25,2020-10-27,77.0
Assholes: A Theory,100.0,,NR,documentary,JohnWalker,2020-10-30,2020-11-06,81.0
Bad Hair,62.0,43.0,NR,horror,JustinSimien,,2020-10-23,102.0
His House,100.0,79.0,NR,mysteryandthriller,RemiWeekes,,2020-10-30,90.0
After We Collided,17.0,92.0,R,drama,RogerKumble,2020-10-23,2020-10-23,107.0
The Craft: Legacy,45.0,35.0,PG-13,fantasy,ZoeListerJones,,2020-10-28,97.0
Spell,45.0,65.0,R,mysteryandthriller,MarkTonderai,2020-10-30,2020-10-30,91.0
Mortal (Torden),55.0,,R,mysteryandthriller,AndréØvredal,2020-11-06,2020-11-06,104.0
Kindred,68.0,,NR,mysteryandthriller,JoeMarcantonio,2020-11-06,2020-11-06,101.0
Major Arcana,88.0,,NR,drama,JoshMelrod,2020-10-09,2020-11-06,82.0
The Dark And The Wicked,90.0,,NR,horror,BryanBertino,2020-11-06,2020-11-06,94.0
Triggered,50.0,,NR,mysteryandthriller,AlastairOrr,2020-11-06,2020-11-06,90.0
Friendsgiving,24.0,15.0,R,other,NicolPaone,2020-10-23,2020-10-23,95.0
"Harry Chapin: When In Doubt, Do Something",100.0,100.0,NR,music,RickKorn,2020-10-16,2020-10-30,
Holidate,45.0,46.0,NR,romance,JohnWhitesell,,2020-10-28,103.0
Borat: Subsequent Moviefilm,86.0,69.0,R,comedy,JasonWoliner,,2020-10-23,96.0
Sarah Cooper: Everything's Fine,63.0,42.0,NR,comedy,NatashaLyonne,,2020-10-27,
Operation Christmas Drop,67.0,51.0,NR,other,MartinWood,,2020-11-05,95.0
American Selfie: One Nation Shoots Itself,75.0,,NR,documentary,AlexandraPelosi,,2020-10-23,
One Man And His Shoes,77.0,,NR,documentary,YemiBamiro,,2020-10-26,83.0
Kaali Khuhi,50.0,25.0,NR,horror,TerrieSamundra,,2020-10-30,90.0
